Best Model,Depth,Theoretical Drought Class,MSE,MAE,n
Topofire Soil Moisture,Depth Averaged,D4 (Exceptional Drought),0.732,0.523,1842
SPoRT 0-100cm Soil Moisture,Depth Averaged,D3 (Extreme Drought),0.693,0.618,4141
SPoRT 0-100cm Soil Moisture,Depth Averaged,D2 (Severe Drought),0.604,0.595,6465
NLDAS-2 VIC 0-100cm Soil Moisture,Depth Averaged,D1 (Moderate Drought),0.532,0.557,20001
SPoRT 0-100cm Soil Moisture,Depth Averaged,D0 (Abnormally Dry),0.5,0.564,15199
SPoRT 0-100cm Soil Moisture,Depth Averaged,Neutral,0.516,0.573,50853
Topofire Soil Moisture,Depth Averaged,W0 (Abnormally Wet),0.386,0.478,13887
Topofire Soil Moisture,Depth Averaged,W1 (Moderately Wet),0.372,0.445,18420
Topofire Soil Moisture,Depth Averaged,W2 (Severely Wet),0.436,0.477,6525
Topofire Soil Moisture,Depth Averaged,W3 (Extremely Wet),0.573,0.578,4464
SMAP (L4) Rootzone Soil Moisture,Depth Averaged,W4 (Exceptionally Wet),0.673,0.586,910
